,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2024-01-28,17924.0,9197.0,43171.0,2778.0,7439.0,1685.0,6022.0,5066.0,111.0,181.29172878749984
2024-01-29,15246.0,8441.0,43076.0,2515.0,6539.0,869.0,5323.0,5679.0,110.0,156.77839909999983
2024-01-30,16892.0,8592.0,43076.0,2381.0,7142.0,1558.0,5811.0,5173.0,99.0,171.57822789999983
2024-01-31,16309.0,8388.0,43081.0,2785.0,6378.0,1638.0,5508.0,5120.0,98.0,185.88483064999986
2024-02-01,18236.0,10292.0,43068.0,2335.0,8467.0,1238.0,6196.0,5116.0,98.0,171.96912869999983
2024-02-02,14619.0,8254.0,43040.0,2132.0,6057.0,1102.0,5328.0,4921.0,112.0,177.5988033999999
2024-02-03,14282.0,7930.0,43112.0,2585.0,5511.0,1195.0,4991.0,5022.0,91.0,139.05572147499987
2024-02-04,13852.0,7390.0,43114.0,2653.0,5013.0,1200.0,4986.0,4906.0,105.0,140.32012206249988
2024-02-05,18505.0,11064.0,43098.0,2320.0,8580.0,1225.0,6380.0,5103.0,108.0,199.88567287499984
2024-02-06,19859.0,12831.0,43070.0,2324.0,10354.0,1208.0,5973.0,5776.0,114.0,1772.5409139249998
2024-02-07,19147.0,11381.0,43152.0,2490.0,9911.0,1096.0,5650.0,5070.0,109.0,2320.7593347374996
2024-02-08,18124.0,11464.0,43157.0,2538.0,8784.0,1211.0,5591.0,4939.0,110.0,2210.1515435125
2024-02-09,15748.0,9624.0,43178.0,2509.0,6746.0,1345.0,5148.0,5094.0,110.0,1306.4084896125
2024-02-10,13814.0,7509.0,43184.0,2699.0,5034.0,1017.0,5064.0,4953.0,107.0,154.3713585624999
2024-02-11,9885.0,3844.0,43171.0,2206.0,5911.0,778.0,990.0,1806.0,96.0,106.43884071249985
2024-02-12,16799.0,9947.0,43138.0,2493.0,6530.0,2283.0,5493.0,5682.0,113.0,223.4397062999999
2024-02-13,15046.0,7928.0,43144.0,2856.0,5582.0,1380.0,5228.0,5062.0,113.0,163.01017552499988
2024-02-14,19456.0,11112.0,43166.0,2619.0,6923.0,4210.0,5704.0,5107.0,116.0,335.56057216249985
